Symbol,StartTime,EndTime,"Trades Timestamp","Trades Quantity","Trades Price","Trades Exchange","Trades MarketCenter","Trades SubMarketCenter","Trades TRDI","Trades CanceledIndicator","Trades DOTT","Trades ITY","Trades MSN","Trades OMSN",Outcome,Message,Identity,Delay,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:35:37.240",100,23.98,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,32005,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:35:37.250",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,32014,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:35:37.257",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,32017,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:35:37.370",100,23.98,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,32035,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:35:37.370",100,23.98,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,32036,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:35:54.500",100,23.94,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,33424,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:01.660",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,33910,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:01.660",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,33912,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:01.760",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,33981,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:11.013",100,23.98,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,34685,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:11.013",100,23.98,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,34686,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:23.090",100,23.97,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,35680,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:23.090",200,23.97,"The NASDAQ Stock Market LLC",Q," ",@F,,F,Q,35681,0,Success,,Cookie,0.0312,
NDAQ,"06/15/2011 09:30:00.000","06/15/2011 10:30:00.000","06/15/2011 09:36:23.190",100,23.95,"The NASDAQ Stock Market LLC",Q," ",@,,F,Q,35717,0,Success,,Cookie,0.0312,
